,student_set,pair,ga,gb,a,b,dif
0,variable,none,control,nodif,58.1035,58.197500000000005,0.0940000000000083
1,variable,vsmall,control,interventionA,58.1035,61.784375000000004,3.6808750000000074
2,variable,small,control,interventionB,58.1035,64.887875,6.784374999999997
3,variable,mod,control,interventionBa,58.1035,70.061875,11.958375000000004
4,variable,mod1,control,interventionBb,58.1035,72.02912500000001,13.92562500000001
5,variable,big,control,interventionC,58.1035,73.754125,15.650625000000005
6,variable,huge,control,interventionD,58.1035,76.75525,18.651750000000007
7,variable,upper,interventionC,interventionD,73.754125,76.75525,3.001125000000002
8,uniform,none,control,nodif,49.964,49.975874999999995,0.011874999999996305
9,uniform,vsmall,control,interventionA,49.964,54.526875,4.562874999999998
10,uniform,small,control,interventionB,49.964,58.344874999999995,8.380874999999996
11,uniform,mod,control,interventionBa,49.964,64.237375,14.273375000000001
12,uniform,mod1,control,interventionBb,49.964,66.6725,16.7085
13,uniform,big,control,interventionC,49.964,68.689875,18.725875000000002
14,uniform,huge,control,interventionD,49.964,72.280875,22.316874999999996
15,uniform,upper,interventionC,interventionD,68.689875,72.280875,3.590999999999994
16,initial,none,control,nodif,51.993,52.065375,0.07237500000000097
17,initial,vsmall,control,interventionA,51.993,56.46,4.466999999999999
18,initial,small,control,interventionB,51.993,59.925,7.931999999999995
19,initial,mod,control,interventionBa,51.993,65.73649999999999,13.74349999999999
20,initial,mod1,control,interventionBb,51.993,67.921125,15.928125000000001
21,initial,big,control,interventionC,51.993,70.12325,18.130249999999997
22,initial,huge,control,interventionD,51.993,73.318125,21.325124999999993
23,initial,upper,interventionC,interventionD,70.12325,73.318125,3.194874999999996
24,second,none,control,nodif,75.252375,75.032625,-0.21975000000000477
25,second,vsmall,control,interventionA,75.252375,77.36725,2.114874999999998
26,second,small,control,interventionB,75.252375,79.2865,4.034125000000003
27,second,mod,control,interventionBa,75.252375,82.239625,6.987250000000003
28,second,mod1,control,interventionBb,75.252375,83.358875,8.106499999999997
29,second,big,control,interventionC,75.252375,84.41012500000001,9.157750000000007
30,second,huge,control,interventionD,75.252375,86.26350000000001,11.011125000000007
31,second,upper,interventionC,interventionD,84.41012500000001,86.26350000000001,1.8533749999999998
