,comparision,students_per_group,attempts_per_student,groupA,groupB,geeBIswrong,geeBIsinsign,geeBIssig,geeBIsvsig,geeBIwrong,geeBIinsign,geeBIsig,geeBIvsig,geewrong,geeinsign,geesig,geevsig,olswrong,olsinsign,olssig,olsvsig,geeBwrong,geeBinsign,geeBsig,geeBvsig,query,time
0,small,30,10,control,interventionA,2,86,5,7,2,86,6,6,2,86,5,7,2,80,8,10,2,86,6,6,"group == ['control', 'interventionA'] and pint < 30 and i < 10",1626408834325.4844
1,small,30,5,control,interventionA,1,89,6,4,1,89,6,4,1,89,6,4,1,86,7,6,1,89,6,4,"group == ['control', 'interventionA'] and pint < 30 and i < 5",1626408847664.045
2,small,50,10,control,interventionA,0,75,10,15,0,75,10,15,0,75,10,15,0,65,11,24,0,75,10,15,"group == ['control', 'interventionA'] and pint < 50 and i < 10",1626408867400.0906
3,small,50,5,control,interventionA,0,87,7,6,0,87,7,6,0,87,7,6,0,78,16,6,0,87,7,6,"group == ['control', 'interventionA'] and pint < 50 and i < 5",1626408886128.824
4,small,100,10,control,interventionA,0,75,10,15,0,75,10,15,0,75,10,15,0,65,11,24,0,75,10,15,"group == ['control', 'interventionA'] and pint < 100 and i < 10",1626408909123.2266
5,small,100,5,control,interventionA,0,87,7,6,0,87,7,6,0,87,7,6,0,78,16,6,0,87,7,6,"group == ['control', 'interventionA'] and pint < 100 and i < 5",1626408928314.319
6,none,30,10,control,nodif,6,90,3,1,6,90,3,1,6,91,2,1,10,85,2,3,6,90,3,1,"group == ['control', 'nodif'] and pint < 30 and i < 10",1626408943769.786
7,none,30,5,control,nodif,3,95,2,0,3,95,2,0,3,95,2,0,5,93,1,1,3,95,2,0,"group == ['control', 'nodif'] and pint < 30 and i < 5",1626408957268.397
8,none,50,10,control,nodif,3,91,5,1,3,91,5,1,3,93,3,1,6,88,3,3,3,91,5,1,"group == ['control', 'nodif'] and pint < 50 and i < 10",1626408978545.8562
9,none,50,5,control,nodif,2,96,1,1,2,96,1,1,2,96,1,1,5,90,4,1,2,96,1,1,"group == ['control', 'nodif'] and pint < 50 and i < 5",1626408996908.8682
10,none,100,10,control,nodif,3,91,5,1,3,91,5,1,3,93,3,1,6,88,3,3,3,91,5,1,"group == ['control', 'nodif'] and pint < 100 and i < 10",1626409017649.8062
11,none,100,5,control,nodif,2,96,1,1,2,96,1,1,2,96,1,1,5,90,4,1,2,96,1,1,"group == ['control', 'nodif'] and pint < 100 and i < 5",1626409036330.7913
12,big,30,10,control,interventionC,0,3,5,92,0,3,5,92,0,4,6,90,0,1,3,96,0,3,5,92,"group == ['control', 'interventionC'] and pint < 30 and i < 10",1626409050816.8286
13,big,30,5,control,interventionC,0,12,19,69,0,12,19,69,0,13,18,69,0,8,17,75,0,12,19,69,"group == ['control', 'interventionC'] and pint < 30 and i < 5",1626409064160.7246
14,big,50,10,control,interventionC,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,"group == ['control', 'interventionC'] and pint < 50 and i < 10",1626409085351.7
15,big,50,5,control,interventionC,0,0,2,98,0,0,2,98,0,0,2,98,0,0,2,98,0,0,2,98,"group == ['control', 'interventionC'] and pint < 50 and i < 5",1626409103472.7632
16,big,100,10,control,interventionC,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,"group == ['control', 'interventionC'] and pint < 100 and i < 10",1626409123234.6243
17,big,100,5,control,interventionC,0,0,2,98,0,0,2,98,0,0,2,98,0,0,2,98,0,0,2,98,"group == ['control', 'interventionC'] and pint < 100 and i < 5",1626409141495.5818
