,comparision,students_per_group,attempts_per_student,groupA,groupB,geeBIswrong,geeBIsns,geeBIssig,geeBIsvsig,geeBIwrong,geeBIns,geeBIsig,geeBIvsig,query,time
0,none,30,20,control,nodif,22,955,18,5,22,955,18,5,"group == ['control', 'nodif'] and pint < 30 and i < 20",1626411650892.7466
1,none,30,10,control,nodif,27,951,17,5,27,951,17,5,"group == ['control', 'nodif'] and pint < 30 and i < 10",1626411708442.3792
2,none,30,5,control,nodif,30,939,23,8,30,939,23,8,"group == ['control', 'nodif'] and pint < 30 and i < 5",1626411762650.6484
3,none,50,20,control,nodif,25,952,20,3,25,952,20,3,"group == ['control', 'nodif'] and pint < 50 and i < 20",1626411848681.4583
4,none,50,10,control,nodif,28,952,17,3,27,953,17,3,"group == ['control', 'nodif'] and pint < 50 and i < 10",1626411927815.3376
5,none,50,5,control,nodif,26,948,21,5,26,948,21,5,"group == ['control', 'nodif'] and pint < 50 and i < 5",1626411999910.2676
6,none,100,20,control,nodif,25,952,20,3,25,952,20,3,"group == ['control', 'nodif'] and pint < 100 and i < 20",1626412086051.7058
7,none,100,10,control,nodif,28,952,17,3,27,953,17,3,"group == ['control', 'nodif'] and pint < 100 and i < 10",1626412164176.752
8,none,100,5,control,nodif,26,948,21,5,26,948,21,5,"group == ['control', 'nodif'] and pint < 100 and i < 5",1626412237200.4956
9,small,30,20,control,interventionB,0,468,231,301,0,469,230,301,"group == ['control', 'interventionB'] and pint < 30 and i < 20",1626412300120.6382
10,small,30,10,control,interventionB,0,563,209,228,0,563,210,227,"group == ['control', 'interventionB'] and pint < 30 and i < 10",1626412358061.9622
11,small,30,5,control,interventionB,0,685,175,140,0,684,176,140,"group == ['control', 'interventionB'] and pint < 30 and i < 5",1626412411464.8215
12,small,50,20,control,interventionB,0,271,215,514,0,271,215,514,"group == ['control', 'interventionB'] and pint < 50 and i < 20",1626412498549.3943
13,small,50,10,control,interventionB,0,364,246,390,0,365,246,389,"group == ['control', 'interventionB'] and pint < 50 and i < 10",1626412576734.3066
14,small,50,5,control,interventionB,0,536,220,244,0,536,220,244,"group == ['control', 'interventionB'] and pint < 50 and i < 5",1626412648875.5845
15,small,100,20,control,interventionB,0,271,215,514,0,271,215,514,"group == ['control', 'interventionB'] and pint < 100 and i < 20",1626412735702.758
16,small,100,10,control,interventionB,0,364,246,390,0,365,246,389,"group == ['control', 'interventionB'] and pint < 100 and i < 10",1626412813802.4924
17,small,100,5,control,interventionB,0,536,220,244,0,536,220,244,"group == ['control', 'interventionB'] and pint < 100 and i < 5",1626412885763.9658
18,big,30,20,control,interventionC,0,2,11,987,0,2,11,987,"group == ['control', 'interventionC'] and pint < 30 and i < 20",1626412948095.5854
19,big,30,10,control,interventionC,0,21,43,936,0,21,43,936,"group == ['control', 'interventionC'] and pint < 30 and i < 10",1626413006171.8555
20,big,30,5,control,interventionC,0,106,131,763,0,106,130,764,"group == ['control', 'interventionC'] and pint < 30 and i < 5",1626413060633.1143
21,big,50,20,control,interventionC,0,0,0,1000,0,0,0,1000,"group == ['control', 'interventionC'] and pint < 50 and i < 20",1626413146236.6213
22,big,50,10,control,interventionC,0,0,5,995,0,0,5,995,"group == ['control', 'interventionC'] and pint < 50 and i < 10",1626413225605.6467
23,big,50,5,control,interventionC,0,16,40,944,0,16,41,943,"group == ['control', 'interventionC'] and pint < 50 and i < 5",1626413297322.862
24,big,100,20,control,interventionC,0,0,0,1000,0,0,0,1000,"group == ['control', 'interventionC'] and pint < 100 and i < 20",1626413383695.997
25,big,100,10,control,interventionC,0,0,5,995,0,0,5,995,"group == ['control', 'interventionC'] and pint < 100 and i < 10",1626413462796.719
26,big,100,5,control,interventionC,0,16,40,944,0,16,41,943,"group == ['control', 'interventionC'] and pint < 100 and i < 5",1626413536090.8262
