,comparision,students_per_group,attempts_per_student,groupA,groupB,total_attemps,query,time
0,none,20,5,control,nodif,200000,"group == ['control', 'nodif'] and pint < 20 and i < 5",1626428341651.6187
1,none,20,10,control,nodif,400000,"group == ['control', 'nodif'] and pint < 20 and i < 10",1626428363348.2585
2,none,20,20,control,nodif,800000,"group == ['control', 'nodif'] and pint < 20 and i < 20",1626428389499.725
3,none,30,5,control,nodif,300000,"group == ['control', 'nodif'] and pint < 30 and i < 5",1626428412965.3845
4,none,30,10,control,nodif,600000,"group == ['control', 'nodif'] and pint < 30 and i < 10",1626428439670.3267
5,none,30,20,control,nodif,1200000,"group == ['control', 'nodif'] and pint < 30 and i < 20",1626428471626.2803
6,none,50,5,control,nodif,500000,"group == ['control', 'nodif'] and pint < 50 and i < 5",1626428503455.6248
7,none,50,10,control,nodif,1000000,"group == ['control', 'nodif'] and pint < 50 and i < 10",1626428540220.7092
8,none,50,20,control,nodif,2000000,"group == ['control', 'nodif'] and pint < 50 and i < 20",1626428586645.093
9,none,75,5,control,nodif,750000,"group == ['control', 'nodif'] and pint < 75 and i < 5",1626428629790.1587
10,none,75,10,control,nodif,1500000,"group == ['control', 'nodif'] and pint < 75 and i < 10",1626428677672.295
11,none,75,20,control,nodif,3000000,"group == ['control', 'nodif'] and pint < 75 and i < 20",1626428741473.106
12,none,100,5,control,nodif,1000000,"group == ['control', 'nodif'] and pint < 100 and i < 5",1626428795062.144
13,none,100,10,control,nodif,2000000,"group == ['control', 'nodif'] and pint < 100 and i < 10",1626428854699.3787
14,none,100,20,control,nodif,4000000,"group == ['control', 'nodif'] and pint < 100 and i < 20",1626428935224.0615
15,none,200,5,control,nodif,2000000,"group == ['control', 'nodif'] and pint < 200 and i < 5",1626429025394.5269
16,none,200,10,control,nodif,4000000,"group == ['control', 'nodif'] and pint < 200 and i < 10",1626429132510.5505
17,none,200,20,control,nodif,8000000,"group == ['control', 'nodif'] and pint < 200 and i < 20",1626429281352.921
18,vsmall,20,5,control,interventionA,200000,"group == ['control', 'interventionA'] and pint < 20 and i < 5",1626429300982.2852
19,vsmall,20,10,control,interventionA,400000,"group == ['control', 'interventionA'] and pint < 20 and i < 10",1626429322473.2478
20,vsmall,20,20,control,interventionA,800000,"group == ['control', 'interventionA'] and pint < 20 and i < 20",1626429348881.9353
21,vsmall,30,5,control,interventionA,300000,"group == ['control', 'interventionA'] and pint < 30 and i < 5",1626429372530.2517
22,vsmall,30,10,control,interventionA,600000,"group == ['control', 'interventionA'] and pint < 30 and i < 10",1626429399048.5334
23,vsmall,30,20,control,interventionA,1200000,"group == ['control', 'interventionA'] and pint < 30 and i < 20",1626429431082.555
24,vsmall,50,5,control,interventionA,500000,"group == ['control', 'interventionA'] and pint < 50 and i < 5",1626429462824.8242
25,vsmall,50,10,control,interventionA,1000000,"group == ['control', 'interventionA'] and pint < 50 and i < 10",1626429499807.0952
